model,dataset,text_id,magnitude,cosine_similarity
gpt2,g2m,13,235.18523,0.98373955
gpt2,g2m,14,219.96414,0.9747815
gpt2,g2m,15,231.87802,0.9842769
gpt2,g2m,16,234.25671,0.98291844
gpt2,g2m,17,216.30403,0.9815504
gpt2,g2m,18,243.67001,0.9840987
gpt2,g2m,19,218.9366,0.9740345
gpt2,g2m,20,212.51982,0.97608155
gpt2,g2m,21,220.19965,0.98381144
gpt2,g2m,22,230.51257,0.9810813
gpt2,g2m,23,240.1406,0.9825869
gpt2,g2m,24,236.66278,0.97932553
gpt2,g2m,25,225.12787,0.98126763
gpt2,g2m,26,209.52164,0.9770459
gpt2,g2m,27,213.76068,0.97688514
gpt2,g2m,28,233.60733,0.9829871
gpt2,g2m,29,206.4316,0.9719373
gpt2,g2m,30,227.8184,0.9851179
gpt2,g2m,31,208.24709,0.9799714
